id|name|ivector_connect_id|airports
42|Reykjavik|31|1104,2065
54|Nelspruit|43|1714,3157
29|Orlando|18|3019,1412
34|Sapporo|23|3146,524
51|Buenos Aires|40|195,3021
41|Oslo|30|2523,325
46|Detroit|35|568,518,1054
40|Moscow|29|2369,3138,2220,3066
43|Stockholm|32|784,378,2600,109
52|Rio de Janeiro|41|619,2398
53|Sao Paulo|42|976,2601,855
32|US Virgin Islands|21|3133,3070
35|Seoul|24|3025,3084
45|Dallas|34|1736,2539
38|Bucharest|27|1841,115
15|Barcelona|4|212
26|Paris (PAR)|15|760,882,220
48|Miami|37|649,1570,2036
39|Brussels|28|523,469
57|Kyiv|46|
24|Glasgow|13|2328,3018
19|New York (NYC)|8|1056,663,1171,483
25|Toronto|14|890,2132,2350
36|Shanghai|25|3097,2327
31|Haiti|20|2396,1678
30|Cayman Islands|19|546,782
21|WAS (Washington)|10|1732,501,2686
50|Belo Horizonte|39|1075,2315
49|Montreal|38|1672,3137,2474,1023
47|Edmonton|36|2012,589,2694
14|Bangkok|3|3017,346
17|Berlin|6|2240,2546,3128
22|Milan|11|3010,1867,213
28|Tokyo|17|1000,1753
20|Rome|9|2309,1605
37|Jakarta|26|792,187
33|Osaka|22|2576,3139,3022
1|London|1|1313,978,1381,1367,2234,2362
18|Birmingham|7|1884,1191
16|Beijing|5|3016,1941
55|Johannesburg|44|947,1813,765,1102,3071
27|Chicago|16|1746,3130,431
23|Houston|12|2592,1083
56|Minsk|45|1529,1542
58|Medellín|50|650,1667
44|Tenerife|33|3147,3148
